CURRENT_MINE_NAME,CURRENT_CONTROLLER_NAME,CURRENT_OPERATOR_NAME,latitude,longitude
Ranch Creek Sand & Gravel,San Carlos Apache Tribe,Gilson Wash District Economic Enterprise,33.345278,-110.453056
West Ridge Mine,Robert E  Murray,West Ridge Resources Inc,39.616667,-110.438056
Sunnyside Waste Coal Site,Exelon Corporation; ACI (American Consumer Industries Inc),Sunnyside Cogeneration Associates,39.544444,-110.391111
Lila Canyon,Robert E  Murray,"Utah American Energy, Inc.",39.426111,-110.340556
Combs Materials,Donald  Gagnon,Combs Materials,31.624167,-110.333056
CEMEX - SIERRA VISTA,Cemex S A,CEMEX Construction Materials South LLC,31.511371,-110.24127
Kemmerer Mine,Westmoreland Coal Company,Westmoreland Kemmerer Inc,41.48,-110.136944
Crusher #1,Mark  Fear; Rod  Bennett,Green River Rock Inc,42.538333,-110.114444
Portable # 4,Chris J  Reinesch; Steve J  Hood,Southwest Rock Products LLC,34.480556,-110.101389
EAST BOULDER MINE,Stillwater Mining Company,Stillwater Mining Company,45.503611,-110.085833
Burdick Portable #5,CRH PLC,Staker & Parson Companies,40.323888,-110.048611
Owens Pit,E Kay  Perkins,Perkins Cinders Inc,34.234444,-110.048055
Crusher C,Roger N  Chapman; Ryan R  Chapman, Chapman Materials ,40.291388,-109.995
W.M.A.T. Public Works,White Mountain Apache Tribe,W.M.A.T. Public Works,33.836944,-109.964167
Western Materials Site #1,Troy  Gillespie; Trent  Gillespie,"Western Materials, LLC",34.330833,-109.963333
Copper Queen Branch,Freeport-McMoRan Copper & Gold Inc,Freeport McMoRan Corporation,31.448055,-109.928333
STILLWATER MINE,Stillwater Mining Company,Stillwater Mining Company,45.383889,-109.872778
Montana Rock & Stone,Merrilee R  Swickard; Ronald G  Swickard,Montana Rock & Stone LLP,46.435833,-109.839722
FMC @ WESTVACO,FMC Corp,FMC Corp,41.620833,-109.811389
"Solvay Chemicals,  Inc",Solvay S A,"Solvay Chemicals,  Inc",41.501389,-109.7575
Tata Chemicals Mine,Tata Chemicals Ltd,Tata Chemicals (Soda Ash) Partners,41.591389,-109.755
Douglas Plant,Lhoist Group,Lhoist North America of Arizona Inc.,31.364722,-109.7325
PLEASANT PIT # 566,CCI  (Clyde Companies Inc),Gorge Rock Products,41.875,-109.711667
PIONEER TRAILS PIT #565,CCI  (Clyde Companies Inc),Gorge Rock Products,41.875,-109.711666
Freeport-McMoRan Safford Inc,Freeport-McMoRan Copper & Gold Inc,Freeport-McMoRan Safford Inc,32.833888,-109.7075
Holliday Crusher,Joey  Holliday,Holliday Construction Inc,37.039722,-109.688333
Airport Pit,David D  Cluff,CKC Materials Division,32.856666,-109.687777
Big Island Mine & Refinery,Natural Resource Partners LP; OCI Chemical Corp,OCI Wyoming LP,41.720556,-109.682778
Little Bonanza Mines and Mills,Gordon S  Ziegler Jr,Ziegler Chemical & Mineral Corp,40.607222,-109.663889
Johnson Camp Mine ,Nord Resources Corp,Nord Resources Corporation,31.880277,-109.648333
Tri County Materials Inc.,Andrew J  Gilbert,Tri County Materials Inc,40.337777,-109.631666
E S Stone and Structure Mobile 3,Eric  Johnson; Scott  Puppe,"E.S. Stone & Structure, Inc.",40.337777,-109.631666
Wash Plant Site,Tyler B  Smith,Rock Solid Materials Inc.,48.584722,-109.605833
WASH PLANT,Lenard R  Maddux,Maddux & Son'S Inc,31.383611,-109.545
Vernal Pit & Mill,Scott  Simplot,Simplot Phosphates LLC,40.455516,-109.528748
NEAL #1,Robert  Davis,Double B & G,40.455556,-109.528611
Crusher #1,Joe B  Murray Jr,Intermountain Concrete Co.,40.455833,-109.516944
Wall Pit And Plant,Joe B  Murray Jr,Intermountain Concrete Co.,40.455867,-109.516851
BOWIE OPERATIONS,Honeywell,UOP LLC,32.324167,-109.487778
White Mesa Mill ,International Uranium Corp,Energy Fuels Resources (USA) Inc.,37.573889,-109.478056
Freeport-McMoRan Morenci Inc.,Freeport-McMoRan Copper & Gold Inc,Freeport-McMoRan Morenci Inc.,33.063333,-109.335
Preferred Sands Of Arizona LLC,Mike  O'Neill,Preferred Sands Of Arizona LLC,35.216388,-109.333611
Richville Pit,Chris J  Reinesch; Steve J  Hood,Southwest Rock Products LLC,34.613611,-109.319167
Riverside Gravel & Trucking,Gina  Olson; Ron  Olson,Riverside Gravel & Trucking,45.645555,-109.318333
"Lewis & Lewis, Inc Pit #2",Arnold N  Lewis,Lewis & Lewis Inc,41.547777,-109.303333
E S Stone and Structure Mobile 2,Eric  Johnson; Scott  Puppe,"E. S. Stone & Structure, Inc.",46.262777,-109.257777
E S Stone & Structure Mobile,Eric  Johnson; Scott  Puppe,E S Stone & Structure,46.298333,-109.254722
PAPOOSE,General Atomics Uranium Resources,Cotter Corp,38.312222,-109.248056
Leucite Mine #11,Raymond  Searle,Searle Bros. Construction Company,41.5875,-109.202777
Bonanza Mines,American Gilsonite Company,American Gilsonite Company,40.0194,-109.1767
Lisbon Valley Mining Co,Lisbon Valley Holdings LLC,Lisbon Valley Mining Co LLC,37.995,-109.117778
Certainteed Cody Quarry,St Gobain,Certainteed Gypsum and Ceiling Manufacturing Inc,44.526389,-109.056667
M K Weeden Construction,Monte K  Weeden,M K Weeden Construction,47.058056,-109.026667
CR2,Frank B.  Lewis; Amy L  Lewis,Lewis Costruction L.C.,44.188889,-108.900278
Moores Pit,Leon C  Moores; Vernon C  Moores,Moores Mining LLC,38.776667,-108.868611
Willy Pit,Raymond W  DeVries,Big Horn Redi Mix Inc,44.723056,-108.8675
Bridger Underground Coal Mine,MidAmerican Energy Holdings Company; IDACORP,Bridger Coal Company ,41.821389,-108.830556
Deserado Mine,Deseret Generation & Transmission Co-operative,Blue Mountain Energy Inc,40.169167,-108.726111
Bull Mountains Mine No 1,Global Mining Group LLC,Signal Peak Energy LLC,46.450833,-108.706667
Warren Quarry,Basin Electric Power Cooperative,Montana Limestone Company,45.066389,-108.671667
Black Butte And Leucite Hills Mines,Ambre Energy Limited; Anadarko Petroleum Corporation,Black Butte Coal Company,41.618889,-108.666389
Lee Ranch Coal Mine,Peabody Energy,Peabody New Mexico Services Div/Peabody Nat Res Co,34.6,-108.65
El Segundo,Peabody Energy,Peabody New Mexico Services Div/Peabody Nat Res Co,34.6,-108.65
WP1,CRH PLC,"Oldcastle SW Group, Inc.",39.099167,-108.6325
WP2,CRH PLC,"Oldcastle SW Group, Inc.",39.099167,-108.6325
CR5,CRH PLC,"Oldcastle SW Group, Inc.",39.099167,-108.6325
CR7,CRH PLC,"Oldcastle SW Group, Inc.; United Companies",39.099167,-108.6325
CR8,CRH PLC,"Oldcastle SW Group, Inc.; United Companies",39.099167,-108.6325
CR10,CRH PLC,"Oldcastle SW Group, Inc., United Companies",39.099167,-108.6325
CR9,CRH PLC,"Oldcastle SW Group, Inc., United Companies",39.099167,-108.6325
WYOMING LIME PRODUCTS,Pete Lien & Sons Inc,Pete Lien & Sons Inc,44.976666,-108.621666
Jim Bridger Mine,MidAmerican Energy Holdings Company; IDACORP,Bridger Coal Company,41.799722,-108.616389
New Horizon Mine,Tri-State Generation & Transmission Assn Inc; Western Fuels Assoc Inc,"Western Fuels-Colorado, LLC",38.269166,-108.571944
Navajo Mine,Navajo Transitional Energy Company LLC (NTEC),BHP Billiton Mine Management Company,36.525,-108.541944
Monument View Gravel Mine,Martin  Azcarraga,M A Concrete Construction Inc,39.073333,-108.538333
Grass Creek Mine,Jim  Kummerfeld,Grass Creek Coal Company,43.916667,-108.516667
Whitewater #81,Edward M  Gardner; Arline M  Stewart,Whitewater Building Materials Co,38.996111,-108.471667
H L Ostermiller Const. Inc,Harvey L Ostermiller,H L Ostermiller Construction Inc,45.850278,-108.441667
Sage Creek Mill,David  Brown,"Wyo-Ben, Inc",44.845555,-108.433888
JTL Portable Crusher #3,MDU Resources Group Inc, Knife River Billings,45.856667,-108.426111
Portable 2,Connie  Dale,B & B Aggregates ,43.023611,-108.384166
San Juan Mine 1,BHP Billiton,San Juan Coal Company,36.85,-108.375
BPM Lovell Mine,Halliburton,Bentonite Performance Minerals LLC,44.838611,-108.345556
BPM Lovell Mill,Halliburton,Bentonite Performance Minerals LLC,44.838611,-108.345555
TYRONE MINE,Freeport-McMoRan Copper & Gold Inc,Freeport-McMoRan Tyrone Inc,32.665833,-108.296944
Lovell Mill,Minerals Technologies Inc,American Colloid Company,44.961388,-108.29
Yellowtail Mine,Minerals Technologies Inc,American Colloid Company,44.961388,-108.29
Cobra Plant,Jim  Fowler,Fowler Brothers Inc,32.77,-108.280278
MIMBRES PIT,Charles  Hamilton,Southwest Concrete & Paving Inc,32.783055,-108.26
Gypsum Quarries ,Koch Industries Inc,Georgia-Pacific Gypsum LLC,44.739634,-108.255698
FARMINGTON S & G (WASH PLT),Stan  Kozimor; Joe  Kozimor,Farmington Sand & Gravel,36.728058,-108.218686
FARMINGTON SAND & GRAVEL,Stan  Kozimor; Joe  Kozimor,Farmington Sand & Gravel,36.72707,-108.190688
CRUSHER #2,Philip  Caines,Mc Garvin-Moberly Construction Company,43.7975,-108.188055
Lucerne Mill,David  Brown,Wyo-Ben Inc,43.735,-108.171944
Chino Mines Co Mine,Freeport-McMoRan Copper & Gold Inc,Freeport-McMoRan Chino Mines Company,32.796389,-108.100833
King II,Grupo Cementos de Chihuahua SA de CV,GCC Energy LLC,37.251111,-108.098055
Colorado Lime Company,United States Lime & Minerals Inc,Colorado Lime Company,38.7617,-108.089
West Warm Springs Field Project,New Era Petroleum (Jersey) Ltd,"New Era Petroleum, LLC",43.652222,-108.080556
Greybull Milling Operation,Schlumberger Ltd,M-I L L C,44.542778,-108.073611
Greybull Mining Operation,Schlumberger Ltd,M-I LLC,44.542778,-108.073611
Delta County Dist 4 Crusher Unit,Delta County-Co,Delta County Commissioners,38.742222,-108.068888
Big Horn Basin Mines,David  Brown,"Wyo-Ben, Inc",44.511389,-108.065556
Stucco Mill,David  Brown,"Wyo-Ben, Inc",44.511388,-108.065555
Open Pit & Continental Surf Comp,Freeport-McMoRan Copper & Gold Inc,Freeport-McMoRan Cobre Mining Company,32.872777,-108.064166
Continental Mill Complex,Freeport-McMoRan Copper & Gold Inc,Freeport-McMoRan Cobre Mining Company,32.872777,-108.064166
Greybull Field Project,New Era Petroleum (Jersey) Ltd,New Era Petroleum LLC,44.483889,-108.056389
WORLAND PLANT,Thomas A  Thorson,Black Hills Bentonite-A Limited Liability Co,44.027777,-107.910555
P V Pit,Paul M  Velasquez,Paul & Son Construction Inc,36.710833,-107.889166
Black Canyon Aggregate Inc,Ronald Chauncey  Luttrell,Black Canyon Aggregate Inc,38.3325,-107.853611
CR #1,Walter L  Meech,C & E Concrete Inc,35.147222,-107.851389
ASTEC 2512K Screening Plant,John  Gilleland,C & J Gravel Products Inc,37.223611,-107.844722
#205-MVP450,John  Gilleland,C & J Gravel Products Inc,37.226388,-107.8425
Milan Quarry,Pat L  Swan,Twin States Limestone LLC,35.155277,-107.835555
St Cloud Surface,Imagin Minerals Incorporated,St Cloud Mining Company,33.423889,-107.811111
Hobbs Sand & Gravel,Donnie N  Hobbs,"Hobbs Brothers, Inc. ",32.195833,-107.792778
Desert Valley Inc,David  Baeza,Desert Valley Inc,32.195833,-107.791388
Western Gravel Inc,Judy  DeVincentis,Western Gravel Inc,38.463333,-107.787222
Colowyo Mine,Western Fuels Assoc Inc; Tri-State Generation & Transmission Assn Inc,Colowyo Coal Company L P,40.3,-107.783333
WEST RIFLE PIT,Gilbert T  Lee,"Central Aggregates, Inc.",39.534722,-107.783056
ADDCAR System 18 HWM Serial No 23018,UGM Holdings Pty.Ltd.,UGM ADDCAR Systems LLC,40.299722,-107.783056
Fortune Revenue Silver Mine,Rory  Williams; James  Williams,"Fortune Revenue Silver Mines, Inc.",37.973889,-107.750278
Silt Plant,William M  Roberts; Travis J  Stewart,"Western Slope Materials, LLC",39.533888,-107.680555
Trapper Mine,Tri-State Generation & Transmsn Assoc; Salt River Project; MidAmerican E,Trapper Mining Inc,40.452222,-107.631111
Absaloka Mine,Westmoreland Coal Company,Westmoreland Resources Inc.,45.729722,-107.611944
La Boca Gravel Pit,Ezra  Lee,Crossfire Aggregate Services LLC,37.004722,-107.607222
CRUSHER 1,Steve  Baker,3B Enterprises LLC,40.506944,-107.562222
Bowie No 2 Mine,Bowie Resources Partners LLC,Bowie Resources LLC,38.942222,-107.553889
West Elk Mine,Arch Coal Inc,"Mountain Coal Company, L.L.C.",38.933056,-107.458056
Mid-Continent Quarry,Benjamin H  Miller; Lawrence M  Mayers Jr,"CalX Minerals, LLC",39.599166,-107.314444
BIG DOG #2,Roger D  Koontz,Harris Trucking & Construction Company,43.075833,-107.290278
GECR LLC,Ganelle B  Edwards,"GECR,  LLC",43.075833,-107.290278
Golden Wonder ,Michael Ray  Schell,Coal Creek Construction,38.003333,-107.282778
BARTOO PORTABLE SCREEN #1,Howard  Bartoo Jr,Bartoo Sand & Gravel Inc,33.128333,-107.252777
Northern Portable Plant #21,Martin Marietta Materials Inc,"Martin Marietta Materials, Inc",39.212778,-107.228889
Yule Quarry ,R. E. D. Graniti S.p.a.,"Colorado Stone Quarries, Inc.",39.070556,-107.197222
Carbondale Plant,William M  Roberts; Travis J  Stewart,"Western Slope Materials, LLC",39.400555,-107.114444
Foidel Creek Mine,Peabody Energy,Peabody Twentymile Mining LLC,40.352777,-107.071944
Horizon Ag Products,Brad  Knickel; Michael  Farmar,Horizon Ag Products,36.013333,-106.970278
Eagle Gypsum Mine,Eagle Materials Inc,American Gypsum Company LLC,39.695278,-106.963611
Black Spring Mine,John F  Lown,Menefee Mining Corp,35.94,-106.944722
Dicaperl Minerals Corp,Dicalite Management Group,Dicaperl Minerals Corp.,34.0275,-106.921944
SOUTH SOCORRO PIT,Canda  Aguilar; Pablo  Aguilar,A 1 Quality Redi-Mix Inc,34.058333,-106.891388
GARDNER PIT,Robert  Redmond; Daniel  Redmond,General Operating Company Inc,40.090278,-106.885278
Decker Mine,Ambre Energy Limited,Decker Coal Company,45.037778,-106.831111
Milagro,Vincent J  Lardner III,New Mexico Travertine Inc,34.651944,-106.801388
Mesa Verde Resources,Bruce  Reid,Mesa Verde Resources,35.523055,-106.780277
Kaycee Mine,Thomas A  Thorson,Black Hills Bentonite-A Limited Liability Co,43.811667,-106.763611
Spring Creek Coal Company,Cloud Peak Energy Resources LLC,Spring Creek Coal LLC,45.358333,-106.750277
Crusher # 10,Rock I.  Southway,"Rock Products, Inc",34.806111,-106.733056
American Redi Mix,Charles  Johnson; Armando  Reyna,American Redi Mix,32.291944,-106.730833
Green Screen Plant,Lorretta  Chavez,Albuquerque Development LLC,35.020555,-106.727222
Vallejos Mine,Raymond  Gutierrez,Ray'S Sand & Gravel,34.969217,-106.695859
Cordova Pit,Danny V  Maestas,Maestas Sand & Gravel,34.796667,-106.672778
Salls Portable Quarry Equip.,Fred H  Salls,Salls Brothers Construction,35.194722,-106.664444
VADO QUARRY,Cemex S A,CEMEX Construction Materials South LLC,32.158888,-106.658333
Screening & Wash Plant,Henry  Southway Jr,Southway Construction Co Inc,35.085,-106.646944
Mountain States Crusher #1830,David  Otoski; Karen  Pace,Mountain States Constructors Inc,35.133889,-106.640833
Rosebud Mine&Crusher/Conveyor,Westmoreland Coal Company,Western Energy Company,45.875,-106.64
Berino Sand Pit,Richard  Backer,Del Norte Masonry Products,32.068055,-106.626388
Del Norte Masonry Products,Richard  Backer,Del Norte Masonry Products,32.064166,-106.613055
White Mesa,Eagle Materials Inc,American Gypsum Company LLC,35.170833,-106.595833
Vado Quarry,Stanley P  Jobe; Irene  Epperson,Jobe Materials LP,32.140833,-106.594722
Organ Quarry,Alan R  Gadberry; Mike C  Donegan,Toro Rock Products,32.447777,-106.587777
Castillo Pit,Francis L  Castillo,Castillo Ready Mix Inc,34.551666,-106.581944
Avispa Canyon Quarry,Stanley P  Jobe; Irene  Epperson,Jobe Materials LP,31.8635,-106.576629
PLACITAS,Vulcan Materials Company,CalMat Co,35.284722,-106.550833
Torrance Quarry,Eucon Corp,Mainline Rock and Ballast Inc,31.753889,-106.511667
MC KELLIGON CANYON,Cemex S A,CEMEX Construction Materials South LLC,31.816666,-106.469722
Portable Crusher #3,Doug  Walterscheid,J Lee Milligan Inc,31.861388,-106.448055
Hitt Canyon Quarry Mine,Stanley P  Jobe; Irene  Epperson,Jobe Materials LP,31.986944,-106.423611
Victorio Sand Pit,Sam  Mendoza,Victorio Trail Sand Products,31.986944,-106.408889
McCombs Quarry,Cemex S A,CEMEX Construction Materials South LLC,31.986944,-106.408888
Tijeras Plant & Quarry,Grupo Cementos de Chihuahua SA de CV,"GCC Rio Grande, Inc.",35.073056,-106.386111
Mills Plant,Thomas A  Thorson,Black Hills Bentonite LLC,42.849444,-106.375556
JCI K200-6203CC,Arthur D  Boatright II,"Mobile Concrete, Inc.",42.847778,-106.375556
H T PLANT,Thomas A  Thorson,Black Hills Bentonite-A Limited Liability Co,42.849444,-106.375555
CASPER MILL,Thomas A  Thorson,Black Hills Bentonite-A Limited Liability Co,42.848333,-106.362778
TENSLEEP MINE,Thomas A  Thorson,Black Hills Bentonite-A Limited Liability Co,42.848333,-106.362777
OSHOTO MINE,Thomas A  Thorson,Black Hills Bentonite-A Limited Liability Co,42.848333,-106.362777
Dyer Sand Pit,Stanley P  Jobe; Irene  Epperson,Jobe Materials LP,31.956389,-106.360278
WEST TENNESSEE PIT,Daryl R  Webster; Lydia  Webster,"Webster Sand & Gravel, LLC",39.348333,-106.339166
Section 14,Stanley P  Jobe; Irene  Epperson,Jobe Materials LP,31.749215,-106.330699
Climax Mine,Freeport-McMoRan Copper & Gold Inc,Climax Molybdenum Company,39.338888,-106.316111
Casper Pit,MDU Resources Group Inc, Knife River Casper,42.861111,-106.280833
Stone Del Milagro,Liborio  Garcia; Sergio  Mata,"Rockwall Material Center, LLC.",31.639444,-106.275833
EAST LOOP 375 SAND PLT,Cemex S A,Cemex Construction Materials South LLC,31.749166,-106.250555
Soto's  Rock ,Romualdo  Soto Jr; Jose  Cruz Soto,Soto's  Rock ,31.72079,-106.241731
El Mezquital Trucking and Rock LLC,Felipe  Dominguez,El Mezquital Trucking and Rock,31.720833,-106.241667
Antonito Plant (Bag Plant),Ronald D  Bjustrom; Dan  Marion,Colorado Lava Inc,37.06685,-106.205148
Trini Fine Materials,Jose  Garcia,El Paso Star Ready Mix Inc,31.639167,-106.168889
Hueco Quarry Inc,Anthony D  Mullen,Hueco Quarry Inc,31.855833,-106.135278
MTI,Anthony D  Mullen,Mullen-Telles Inc,31.65783,-106.134571
Hueco Rock Quarry,JAR Construction; Joe  Roales Jr,Paso del Norte,31.870833,-106.134444
Rock Dimension Pit,Hilario  Soto,Soto Company,31.682778,-106.130278
Ned Finney Quarry,Stanley P  Jobe; Irene  Epperson,Jobe Materials LP,31.828535,-106.113039
Crusher #2,Robert C  Willits,Willits Company Inc.,39.651666,-106.081666
Aviation Mine,Victor  Montano,Montano's Excavating & Trenching Inc,35.631388,-106.072777
ROCKY MOUNTAIN MINE,CR Minerals Company LLC,Cr Minerals Company LLC,36.052777,-106.070555
San Juan Plant,CR Minerals Company LLC,CR Minerals Company LLC,36.052777,-106.070555
Maryland Creek,Tom  Everist,Everist Materials LLC,39.625,-106.069444
D. S. QUARRY,Daniel Romualdo  Soto,"D R S  Rock Materials, LLC",31.822778,-106.069444
MACIAS PIT,Angel Macias  Amador,Macias Quarry,31.822821,-106.069421
Waldo Quarry ,Richard P  Cook,"Associated Asphalt & Materials, LLC",35.633888,-106.067777
LOWDERMILK,Richard P  Cook,"Espanola Transit Mix Company, LLC",36.007222,-106.065
DTT Welding & Excavating Inc,Dave L  Tainter,DTT Welding & Excavating Inc,36.002777,-106.057777
SANTA FE RIVER PIT,Don  Eker,"Eker Brothers, Inc.",35.635555,-106.045277
BUTALA CONSTRUCTION COMPANY,Thomas M  Eve; Linda  Kellerman,Butala Construction Company,38.551666,-106.023888
El Grande,Dicalite Management Group,Dicaperl Minerals Corp,37.065,-106.011389
Monarch Mill,Quikrete Holdings Inc.,QUIKRETE COMPANIES,38.534722,-105.998888
No Agua Mine & Mill,Imerys S A,"Imerys Perlite USA, Inc.",36.712222,-105.983611
LA LUZ PIT,Cemex S A,CEMEX Construction Materials South LLC,32.975556,-105.964444
V R Pit,MDU Resources Group Inc,Knife River - Casper,42.797222,-105.95
R D BLANKENSHIP DIRT WORK,Rodney D  Blankenship,R D Blankenship Dirt Work LLC,32.983056,-105.946389
CERRITO PELADO,Quikrete Holdings Inc.,"Monarch Mountain Minerals & Aggregates, LLC",35.686944,-105.937777
GLENROCK MILL,Thomas A  Thorson,Black Hills Lignite A Limited Liability Co,42.861389,-105.872222
HENDERSON OPERATIONS,Freeport-McMoRan Copper & Gold Inc,Climax Molybdenum Company,39.771389,-105.855278
Portable Crushing Plant  #5,Henry  Southway Jr,Southway Construction Co. Inc.,37.473333,-105.849722
Persolite Products Inc,Michael J Steiner; Richard H Soden,Persolite Products Inc,39.550051,-105.782067
COLORADO ROSE RED QUARRY,Daniel J  Liesveld,Rocky Mountain Rose Red Inc,39.549722,-105.781944
MC COY CINDER PIT,Bratton Patrick J,Bratton Enterprises Inc,39.549722,-105.781944
MASONVILLE QUARRY,Glenn  Southwick; Dave  Bacon,Masonville Stone Company,39.55,-105.781944
JAWS,Gary  Parkerson,Parkerson Construction Inc,39.549722,-105.781944
MONTEZUMA COUNTY,Montezuma County-Co,Montezuma County Road Department,39.549722,-105.781944
MAMM CREEK PIT,Daniel  Grant; Douglas  Grant,Grant Brothers Construction Llc,39.55,-105.781944
COAL CREEK RESOURCES,Edward C  Levy Jr,Schmidt Aggregates,39.55,-105.781944
MENCENBERG QUARRY,Edward C  Levy Jr,Schmidt Aggregates,39.55,-105.781944
PORTABLE CRUSHER #3,John L  Ary,A & S Construction Company,39.549722,-105.781944
Dry Fork Mine,Western Fuels Association,Western Fuels-Wyoming Inc,44.650278,-105.734722
Wyodak Mine,Black Hills Corp,Wyodak Resources Development Company,44.509167,-105.6425
Mountain Cement Company,Eagle Materials Inc,Mountain Cement Company,41.266666,-105.602222
MTC INC,Max  Mascarenas,MTC INC,36.703888,-105.595
Buckskin Mine,Kiewit Peter Sons' Inc,Kiewit Mining Group Inc.,44.433611,-105.528611
Penasco Sand and Gravel,Dwayne  Lewis,Penasco Sand and Gravel Inc,32.850556,-105.5125
Campbell County Crusher,Campbell County-Wy,Campbell County Road & Bridge Department,44.278888,-105.509722
WALSTRUM MINE,Albert R  Frei,Albert Frei & Sons Inc,39.746111,-105.43
Eagle Butte Mine,"Alpha Natural Resources, Inc.","Alpha Coal West, Inc.",44.516667,-105.416667
Belle Ayr Mine,"Alpha Natural Resources, Inc.","Alpha Coal West, Inc.",44.1,-105.383333
Parkdale Quarry,CIG LLC,Front Range Aggregates LLC,38.486111,-105.372222
Sierra Blanca Quarry,Becky Dean  Walker; Dennis  Walker,"Sierra Blanca Quarry, LLC",31.17129,-105.347074
Caballo Mine,Peabody Energy,"Peabody Caballo Mining, LLC",44.118888,-105.333333
Rawhide Mine,Peabody Energy,"Peabody Caballo Mining, LLC",44.21,-105.32
Coal Creek Mine,Arch Coal Inc,Thunder Basin Coal Company LLC,43.971944,-105.2825
Black Thunder,Arch Coal Inc,Thunder Basin Coal Company LLC,42.693611,-105.266667
T. H. E.  Aggregate Source,Daniel E  Tezak,Tezak Heavy Equipment Company Inc,38.433888,-105.264444
Portable Crusher #2,Jeffrey W  Keller; John M  Keller,Asphalt Paving Company,39.813889,-105.248056
Church Pit/McKay Resources,Bret  Hall; Scott  Masi,Bestway Concrete & Aggregates,39.887778,-105.239722
Boulder Plant,Trinity Industries Inc,"TRNLWB, LLC",39.909722,-105.238888
Colorado Quarries Inc,Bill  Tezak,Colorado Quarries Inc,38.445833,-105.226944
Portable Unit #2,Bill  Tezak,Colorado Quarries Inc,38.445833,-105.226944
SPECIFICATION AGGREGATES,Martin Marietta Materials Inc,Martin Marietta Materials,39.716111,-105.207777
MORRISON PLANT,Holcim Ltd,Aggregate Industries WCR Inc,39.631111,-105.201388
TRUPP LOVELAND,Judy  Sprague,Arkins Park Stone ,40.443395,-105.201234
Rocky Road Quarry ,Douglas  Bachli,Colorado Flagstone Inc,40.437222,-105.1975
North Antelope Rochelle Mine,Peabody Energy,Peabody Powder River Mining LLC,43.718333,-105.191111
Cordero Mine,Cloud Peak Energy Resources LLC,Cordero Mining LLC,44.066667,-105.183333
Owl Canyon Quarry & Mill,Pete Lien & Sons Inc,"Pete Lien and Sons, Inc.",40.757778,-105.175556
Portable Plant #1,Pete Lien & Sons Inc,"Pete Lien and Sons, Inc.",40.757778,-105.175556
Antelope Coal Mine,Cloud Peak Energy Resources LLC,Antelope Coal LLC,43.5,-105.166667
Stone Wholesale Brownstone Quarry,Jim  Striggow,"Stone Wholesale, Inc.",40.522222,-105.165556
Granite Canyon Quarry,Martin Marietta Materials Inc,Meridian Granite Company,41.103888,-105.161111
Lyons Cement Plant Cemex Inc,Cemex S A,Cemex Inc,40.203333,-105.160277
LAPORTE HYDRATE LIME PLANT,Pete Lien & Sons Inc,Pete Lien & Sons Inc,40.652778,-105.138333
Northern Portable Plant #6,Martin Marietta Materials Inc,Martin Marietta Materials,40.588888,-105.1375
NORTHERN PORTABLE PLANT #3,Martin Marietta Materials Inc,Martin Marietta Materials,40.588889,-105.1375
Northern Portable Plant #12,Martin Marietta Materials Inc,Martin Marietta Materials,40.588889,-105.1375
Cresson Project,Anglogold Ltd; Golden Cycle Gold Corp,Anglogold Ashanti (Colorado) Corp,38.739166,-105.125
NORTHERN PORTABLE PLANT #14,Martin Marietta Materials Inc,Martin Marietta Materials,40.521944,-105.094444
Northern Portable Plant #17,Martin Marietta Materials Inc,Martin Marietta Materials,40.585278,-105.083889
QAC #3,Jay Dee  Hacklin,"Quality Agg & Construction, Inc",44.285,-105.082777
Portland Plant & Quarry ,Holcim Ltd,Holcim (US) Inc,38.386388,-105.074166
Penrose Ranch Gravel Pit,Stephen  Schnurr,Rocky Mountain Materials & Asphalt Inc,38.38626,-105.074085
Coulson Portable,Richard  Coulson,"Coulson Excavating Company, Inc.",40.380278,-105.045
Distel Plant,Holcim Ltd,Aggregate Industries WCR  Inc,40.138611,-105.042777
Ortega Pit,James  Rogers,Alamo Transit Mix Corp,34.972777,-105.0325
Tommy Blankenship Pit,Tommy J  Blankenship,Tommy Blankenship Sand & Gravel,34.972778,-105.0325
PIT #1,Gene E  Little,Chaparral Sand & Gravel,34.972778,-105.0325
Crusher/Screener #2,Randy  Rabon,Mesa Verde Enterprises Inc,34.972778,-105.0325
Cottonwood Pit,Martin Marietta Materials Inc,Martin Marietta Materials,40.138611,-105.018055
Cedar Rapids Portable Plant #1-0504615,Bret  Hall; Scott  Masi,Bestway Concrete & Aggregates,40.200556,-105.007778
Shores-0504838,Bret  Hall; Scott  Masi,Bestway Concrete & Aggregates,40.200556,-105.007778
Green/Croissant,Patricia  Edwards,Loveland Ready Mix Concrete Inc.,40.200555,-105.007777
Rinn Valley Resource,L G Everist Inc,"L. G. Everist, Inc.",40.148611,-104.998611
Plant #12  (Wet),Christopher L  Varra; Pasquale  Varra,Varra Companies Inc,40.118611,-104.981666
PLANT #13  (Wet),Christopher L  Varra; Pasquale  Varra,Varra Companies Inc,40.118611,-104.981666
Plant #20  (Dry),Christopher L  Varra; Pasquale  Varra,"Varra Companies, Inc.",40.118611,-104.981666
PORTABLE #1,Don  Kehn,Don Kehn Construction Inc,40.497777,-104.976944
Polo Ranch,Robert C  Willits,"Willits Company, Inc.",41.0775,-104.962222
Siloam Pit,Ferd A  Mueller,Siloam Stone Inc,38.175833,-104.952777
Red Canyon Quarry,Stephen  Schnurr,Rocky Mountain Materials & Asphalt Inc,38.586388,-104.947222
